"STATISTIC Label","Year","Month of Fatality","UNIT","VALUE"
"Road Fatalities","2012","January","Number","10"
"Road Fatalities","2012","February","Number","13"
"Road Fatalities","2012","March","Number","13"
"Road Fatalities","2012","April","Number","16"
"Road Fatalities","2012","May","Number","13"
"Road Fatalities","2012","June","Number","26"
"Road Fatalities","2012","July","Number","15"
"Road Fatalities","2012","August","Number","12"
"Road Fatalities","2012","September","Number","10"
"Road Fatalities","2012","October","Number","15"
"Road Fatalities","2012","November","Number","8"
"Road Fatalities","2012","December","Number","12"
"Road Fatalities","2013","All months","Number","188"
"Road Fatalities","2013","January","Number","19"
"Road Fatalities","2013","February","Number","14"
"Road Fatalities","2013","March","Number","15"
"Road Fatalities","2013","April","Number","12"
"Road Fatalities","2013","May","Number","17"
"Road Fatalities","2013","June","Number","13"
"Road Fatalities","2013","July","Number","18"
"Road Fatalities","2013","August","Number","19"
"Road Fatalities","2013","September","Number","17"
"Road Fatalities","2013","October","Number","13"
"Road Fatalities","2013","November","Number","15"
"Road Fatalities","2013","December","Number","16"
"Road Fatalities","2014","All months","Number","192"
"Road Fatalities","2014","January","Number","16"
"Road Fatalities","2014","February","Number","13"
"Road Fatalities","2014","March","Number","15"
"Road Fatalities","2014","April","Number","14"
"Road Fatalities","2014","May","Number","18"
"Road Fatalities","2014","June","Number","18"
"Road Fatalities","2014","July","Number","18"
"Road Fatalities","2014","August","Number","15"
"Road Fatalities","2014","September","Number","11"
"Road Fatalities","2014","October","Number","17"
"Road Fatalities","2014","November","Number","20"
"Road Fatalities","2014","December","Number","17"
"Road Fatalities","2015","All months","Number","162"
"Road Fatalities","2015","January","Number","12"
"Road Fatalities","2015","February","Number","13"
"Road Fatalities","2015","March","Number","11"
"Road Fatalities","2015","April","Number","7"
"Road Fatalities","2015","May","Number","12"
"Road Fatalities","2015","June","Number","13"
"Road Fatalities","2015","July","Number","19"
"Road Fatalities","2015","August","Number","14"
"Road Fatalities","2015","September","Number","16"
"Road Fatalities","2015","October","Number","11"
"Road Fatalities","2015","November","Number","14"
"Road Fatalities","2015","December","Number","20"
"Road Fatalities","2016","All months","Number","182"
"Road Fatalities","2016","January","Number","15"
"Road Fatalities","2016","February","Number","9"
"Road Fatalities","2016","March","Number","17"
"Road Fatalities","2016","April","Number","14"
"Road Fatalities","2016","May","Number","20"
"Road Fatalities","2016","June","Number","12"
"Road Fatalities","2016","July","Number","19"
"Road Fatalities","2016","August","Number","13"
"Road Fatalities","2016","September","Number","17"
"Road Fatalities","2016","October","Number","20"
"Road Fatalities","2016","November","Number","9"
"Road Fatalities","2016","December","Number","17"
"Road Fatalities","2017","All months","Number","154"
"Road Fatalities","2017","January","Number","16"
"Road Fatalities","2017","February","Number","11"
"Road Fatalities","2017","March","Number","20"
"Road Fatalities","2017","April","Number","7"
"Road Fatalities","2017","May","Number","8"
"Road Fatalities","2017","June","Number","13"
"Road Fatalities","2017","July","Number","16"
"Road Fatalities","2017","August","Number","10"
"Road Fatalities","2017","September","Number","13"
"Road Fatalities","2017","October","Number","10"
"Road Fatalities","2017","November","Number","14"
"Road Fatalities","2017","December","Number","16"
"Road Fatalities","2018","All months","Number","135"
"Road Fatalities","2018","January","Number","12"
"Road Fatalities","2018","February","Number","10"
"Road Fatalities","2018","March","Number","13"
"Road Fatalities","2018","April","Number","17"
"Road Fatalities","2018","May","Number","4"
"Road Fatalities","2018","June","Number","16"
"Road Fatalities","2018","July","Number","8"
"Road Fatalities","2018","August","Number","12"
"Road Fatalities","2018","September","Number","10"
"Road Fatalities","2018","October","Number","7"
"Road Fatalities","2018","November","Number","11"
"Road Fatalities","2018","December","Number","15"
"Road Fatalities","2019","All months","Number","140"
"Road Fatalities","2019","January","Number","14"
"Road Fatalities","2019","February","Number","14"
"Road Fatalities","2019","March","Number","11"
"Road Fatalities","2019","April","Number","9"
"Road Fatalities","2019","May","Number","11"
"Road Fatalities","2019","June","Number","11"
"Road Fatalities","2019","July","Number","8"
"Road Fatalities","2019","August","Number","8"
"Road Fatalities","2019","September","Number","18"
"Road Fatalities","2019","October","Number","10"
"Road Fatalities","2019","November","Number","11"
"Road Fatalities","2019","December","Number","15"
"Road Fatalities","2020","All months","Number","146"
"Road Fatalities","2020","January","Number","9"
"Road Fatalities","2020","February","Number","19"
"Road Fatalities","2020","March","Number","17"
"Road Fatalities","2020","April","Number","7"
"Road Fatalities","2020","May","Number","6"
"Road Fatalities","2020","June","Number","12"
"Road Fatalities","2020","July","Number","10"
"Road Fatalities","2020","August","Number","16"
"Road Fatalities","2020","September","Number","18"
"Road Fatalities","2020","October","Number","13"
"Road Fatalities","2020","November","Number","11"
"Road Fatalities","2020","December","Number","8"
"Road Fatalities","2021","All months","Number","136"
"Road Fatalities","2021","January","Number","4"
"Road Fatalities","2021","February","Number","5"
"Road Fatalities","2021","March","Number","10"
"Road Fatalities","2021","April","Number","18"
"Road Fatalities","2021","May","Number","7"
"Road Fatalities","2021","June","Number","9"
"Road Fatalities","2021","July","Number","17"
"Road Fatalities","2021","August","Number","21"
"Road Fatalities","2021","September","Number","11"
"Road Fatalities","2021","October","Number","12"
"Road Fatalities","2021","November","Number","3"
"Road Fatalities","2021","December","Number","19"
"Road Fatalities","2022","All months","Number","155"
"Road Fatalities","2022","January","Number","14"
"Road Fatalities","2022","February","Number","13"
"Road Fatalities","2022","March","Number","16"
"Road Fatalities","2022","April","Number","9"
"Road Fatalities","2022","May","Number","12"
"Road Fatalities","2022","June","Number","13"
"Road Fatalities","2022","July","Number","12"
"Road Fatalities","2022","August","Number","12"
"Road Fatalities","2022","September","Number","10"
"Road Fatalities","2022","October","Number","12"
"Road Fatalities","2022","November","Number","17"
"Road Fatalities","2022","December","Number","15"
"Road Fatalities","2023","All months","Number","136"
"Road Fatalities","2023","January","Number","19"
"Road Fatalities","2023","February","Number","12"
"Road Fatalities","2023","March","Number","12"
"Road Fatalities","2023","April","Number","11"
"Road Fatalities","2023","May","Number","20"
"Road Fatalities","2023","June","Number","10"
"Road Fatalities","2023","July","Number","17"
"Road Fatalities","2023","August","Number","26"
"Road Fatalities","2023","September","Number","9"
"Road Fatalities","2023","October","Number",""
"Road Fatalities","2023","November","Number",""
"Road Fatalities","2023","December","Number",""
